City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
45,Atuona,PF,77.81,clear sky,-9.8,-139.0333,Villa Enata
56,Spartanburg,US,79.81,clear sky,34.9496,-81.9321,Spartanburg Marriott
64,Sarangani,PH,84.16,overcast clouds,5.4033,125.4636,Ballistic Islet
76,Saint-Georges,GD,87.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
77,Caravelas,BR,76.14,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
88,Gafanha Da Encarnacao,PT,80.47,overcast clouds,40.6181,-8.733,Hotel Barra
97,Mocuba,MZ,76.28,few clouds,-16.8392,36.9856,Phama Lodge
105,Alice Town,BS,81.57,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
110,Garcia Hernandez,PH,81.7,overcast clouds,9.6144,124.2946,President Manuel Roxas Park and Campsite
113,Kahului,US,77.85,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
147,Georgetown,MY,80.89,light rain,5.4112,100.3354,Cititel Penang
152,Bengkulu,ID,76.41,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
172,Ransang,PH,78.91,heavy intensity rain,8.9603,117.5828,Black and Crystal Sand Campsite
187,Trincomalee,LK,81.66,moderate rain,8.5711,81.2335,Welcombe Hotel
188,Wichita Falls,US,85.24,scattered clouds,33.9137,-98.4934,Quality Inn & Suites Wichita Falls I-44
189,Les Cayes,HT,86.77,broken clouds,18.2,-73.75,Villa Orphee
192,Issia,CI,75.38,light rain,6.4922,-6.5856,Résidence Hôtel Ange Anaé
204,Tecoanapa,MX,85.78,overcast clouds,16.5167,-98.75,Hotel Manglares
221,Wanning,CN,79.16,scattered clouds,18.8003,110.3967,Paradise Hotel
230,Ambulu,ID,75.87,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
238,Hambantota,LK,80.4,overcast clouds,6.1241,81.1185,Bungalow 63
245,Ingham,US,76.86,scattered clouds,42.6,-84.3833,Sunset Mobile Home Park
248,Sampit,ID,76.1,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
263,Bahia Honda,CU,84.04,light rain,22.9036,-83.1592,Casa Gualberto - Deysi
316,Bogalusa,US,86.79,clear sky,30.791,-89.8487,Traveler's Rest Motel
325,Hamilton,US,83.25,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
326,Nouadhibou,MR,76.98,clear sky,20.931,-17.0347,El Medina
327,Kavieng,PG,81.99,broken clouds,-2.5744,150.7967,Nusa Island Retreat
341,Miri,MY,78.94,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
347,Tevaitoa,PF,79.36,broken clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
376,Morehead,US,86.85,clear sky,37.2711,-87.1764,CCI Express Inn
389,Mannarakkat,IN,80.15,overcast clouds,10.9833,76.4667,The Park Residency
390,Ahuimanu,US,76.71,light rain,21.4447,-157.8378,Paradise Bay Resort
408,Mandal,IN,81.79,broken clouds,25.45,74.5667,पीपी वाले हनुमान जी
410,Diban,SY,81.19,clear sky,35.0365,40.5167,مساكن الشرطة بمدينة ذيبان
412,Oranjestad,AW,84.15,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
428,Tabou,CI,78.94,overcast clouds,4.423,-7.3528,hotêl doufoulougou
430,Nicoya,CR,87.35,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
446,Del Rio,US,86.11,few clouds,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
452,Hirado,JP,77.36,clear sky,33.3597,129.5531,Samson Hotel
457,Kumbakonam,IN,77.56,heavy intensity rain,10.9667,79.3833,Vinayaga by Poppys - Kumbakonam
458,Ugoofaaru,MV,82.96,overcast clouds,5.6667,73.0,Ungoofaaru Inn
465,Nuzvid,IN,78.4,broken clouds,16.7833,80.85,HI-TECH LODGE
471,Kupang,ID,76.05,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
491,Kuching,MY,77.22,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
492,La Peca,PE,87.85,light rain,-5.6111,-78.435,Hospedaje San Miguelito
504,Chilmari,BD,82.27,few clouds,25.5559,89.6715,Naimul islam Badhon hotel
512,Palm Coast,US,82.49,broken clouds,29.585,-81.2078,Hammock Beach Golf Resort & Spa
524,Talcher,IN,77.47,clear sky,20.95,85.2167,Hotel Green Park
527,Puerto Colombia,CO,87.89,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
531,The Valley,AI,87.94,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
532,Poso,ID,78.12,moderate rain,-1.3959,120.7524,Hotel 77 Poso
536,Anloga,GH,82.62,scattered clouds,5.7947,0.8973,Pin Drop Hotel
537,Nha Trang,VN,78.8,overcast clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
545,Sanchez,DO,87.82,scattered clouds,19.2281,-69.6137,Apartamentos Rincon La Roca
561,Lata,PT,78.49,overcast clouds,40.1629,-8.3327,Casa Maquia
562,Santa Rosa,PH,82.38,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
563,Rabaul,PG,80.56,scattered clouds,-4.1967,152.1721,Rabaul Hotel
594,Puerto Penasco,MX,77.92,clear sky,31.3167,-113.5333,Playa Bonita Resort
601,Kutum,SD,86.13,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
608,Mabaruma,GY,87.91,broken clouds,8.2,-59.7833,Monty Brooms Guest House
618,Kanadukathan,IN,78.6,overcast clouds,10.1754,78.7785,Chettinadu Court
622,Boundiali,CI,77.54,moderate rain,9.5217,-6.4869,Hotel Paysan Boundiali
628,Kedougou,SN,86.49,overcast clouds,12.5579,-12.1743,Relais de Kédougou
632,Guiglo,CI,76.6,light rain,6.5456,-7.4966,Hotel GBAOLY 2
636,Pyapon,MM,77.4,broken clouds,16.2833,95.6833,Aung Naing Thu Motel
687,Fare,PF,79.09,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
693,Cedral,MX,79.7,clear sky,23.8,-100.7333,Hotel Rocio
702,Sungai Padi,TH,80.38,overcast clouds,6.0851,101.8766,237บอล&บาส
